date,product,opening_stock,units_produced,units_dispatched,closing_stock,lost_demand,stockout_flag
2025-01-01,Vitamin C Serum,80,44,42,82,0,No
2025-01-01,Hydra Cream,80,55,77,58,0,No
2025-01-01,Eye Repair Serum,80,18,24,74,0,No
2025-01-02,Vitamin C Serum,82,46,47,81,0,No
2025-01-02,Hydra Cream,58,55,77,36,0,No
2025-01-02,Eye Repair Serum,74,18,21,71,0,No
2025-01-03,Vitamin C Serum,81,40,55,66,0,No
2025-01-03,Hydra Cream,36,48,72,12,0,No
2025-01-03,Eye Repair Serum,71,7,23,55,0,No
2025-01-04,Vitamin C Serum,66,38,42,62,0,No
2025-01-04,Hydra Cream,12,49,61,0,16,Yes
2025-01-04,Eye Repair Serum,55,17,20,52,0,No
2025-01-05,Vitamin C Serum,62,21,41,42,0,No
2025-01-05,Hydra Cream,0,47,47,0,24,Yes
2025-01-05,Eye Repair Serum,52,16,19,49,0,No
2025-01-06,Vitamin C Serum,42,38,56,24,0,No
2025-01-06,Hydra Cream,0,50,50,0,27,Yes
2025-01-06,Eye Repair Serum,49,18,20,47,0,No
2025-01-07,Vitamin C Serum,24,45,50,19,0,No
2025-01-07,Hydra Cream,0,52,52,0,4,Yes
2025-01-07,Eye Repair Serum,47,18,23,42,0,No
2025-01-08,Vitamin C Serum,19,45,37,27,0,No
2025-01-08,Hydra Cream,0,31,31,0,43,Yes
2025-01-08,Eye Repair Serum,42,20,17,45,0,No
2025-01-09,Vitamin C Serum,27,41,35,33,0,No
2025-01-09,Hydra Cream,0,47,47,0,7,Yes
2025-01-09,Eye Repair Serum,45,17,15,47,0,No
2025-01-10,Vitamin C Serum,33,46,26,53,0,No
2025-01-10,Hydra Cream,0,49,49,0,19,Yes
2025-01-10,Eye Repair Serum,47,20,15,52,0,No
2025-01-11,Vitamin C Serum,53,44,34,63,0,No
2025-01-11,Hydra Cream,0,53,53,0,3,Yes
2025-01-11,Eye Repair Serum,52,17,13,56,0,No
2025-01-12,Vitamin C Serum,63,41,26,78,0,No
2025-01-12,Hydra Cream,0,34,34,0,19,Yes
2025-01-12,Eye Repair Serum,56,19,15,60,0,No
2025-01-13,Vitamin C Serum,78,43,31,90,0,No
2025-01-13,Hydra Cream,0,55,55,0,14,Yes
2025-01-13,Eye Repair Serum,60,19,15,64,0,No
2025-01-14,Vitamin C Serum,90,40,32,98,0,No
2025-01-14,Hydra Cream,0,53,53,0,22,Yes
2025-01-14,Eye Repair Serum,64,18,14,68,0,No
2025-01-15,Vitamin C Serum,98,44,26,116,0,No
2025-01-15,Hydra Cream,0,50,50,0,20,Yes
2025-01-15,Eye Repair Serum,68,19,17,70,0,No
2025-01-16,Vitamin C Serum,116,40,29,127,0,No
2025-01-16,Hydra Cream,0,53,53,0,5,Yes
2025-01-16,Eye Repair Serum,70,17,13,74,0,No
2025-01-17,Vitamin C Serum,127,43,29,141,0,No
2025-01-17,Hydra Cream,0,56,56,0,0,No
2025-01-17,Eye Repair Serum,74,17,15,76,0,No
2025-01-18,Vitamin C Serum,141,43,35,149,0,No
2025-01-18,Hydra Cream,0,53,53,0,11,Yes
2025-01-18,Eye Repair Serum,76,8,12,72,0,No
2025-01-19,Vitamin C Serum,149,40,37,152,0,No
2025-01-19,Hydra Cream,0,29,29,0,45,Yes
2025-01-19,Eye Repair Serum,72,20,15,77,0,No
2025-01-20,Vitamin C Serum,152,40,37,155,0,No
2025-01-20,Hydra Cream,0,49,49,0,29,Yes
2025-01-20,Eye Repair Serum,77,20,16,81,0,No
2025-01-21,Vitamin C Serum,155,40,37,158,0,No
2025-01-21,Hydra Cream,0,50,50,0,9,Yes
2025-01-21,Eye Repair Serum,81,19,13,87,0,No
2025-01-22,Vitamin C Serum,158,41,33,166,0,No
2025-01-22,Hydra Cream,0,55,55,0,12,Yes
2025-01-22,Eye Repair Serum,87,20,13,94,0,No
2025-01-23,Vitamin C Serum,166,45,26,185,0,No
2025-01-23,Hydra Cream,0,53,53,0,8,Yes
2025-01-23,Eye Repair Serum,94,17,13,98,0,No
2025-01-24,Vitamin C Serum,185,45,27,203,0,No
2025-01-24,Hydra Cream,0,54,53,1,0,No
2025-01-24,Eye Repair Serum,98,18,12,104,0,No
2025-01-25,Vitamin C Serum,203,45,30,218,0,No
2025-01-25,Hydra Cream,1,35,36,0,18,Yes
2025-01-25,Eye Repair Serum,104,19,16,107,0,No
2025-01-26,Vitamin C Serum,218,43,38,223,0,No
2025-01-26,Hydra Cream,0,46,46,0,27,Yes
2025-01-26,Eye Repair Serum,107,19,13,113,0,No
2025-01-27,Vitamin C Serum,223,44,29,238,0,No
2025-01-27,Hydra Cream,0,56,56,0,19,Yes
2025-01-27,Eye Repair Serum,113,20,16,117,0,No
2025-01-28,Vitamin C Serum,238,40,38,240,0,No
2025-01-28,Hydra Cream,0,51,51,0,28,Yes
2025-01-28,Eye Repair Serum,117,20,12,125,0,No
2025-01-29,Vitamin C Serum,240,42,33,249,0,No
2025-01-29,Hydra Cream,0,55,55,0,21,Yes
2025-01-29,Eye Repair Serum,125,16,12,129,0,No
2025-01-30,Vitamin C Serum,249,38,36,251,0,No
2025-01-30,Hydra Cream,0,46,46,0,22,Yes
2025-01-30,Eye Repair Serum,129,19,15,133,0,No
2025-01-31,Vitamin C Serum,251,40,26,265,0,No
2025-01-31,Hydra Cream,0,51,51,0,23,Yes
2025-01-31,Eye Repair Serum,133,17,14,136,0,No
2025-02-01,Vitamin C Serum,265,44,32,277,0,No
2025-02-01,Hydra Cream,0,56,56,0,10,Yes
2025-02-01,Eye Repair Serum,136,20,18,138,0,No
2025-02-02,Vitamin C Serum,277,46,28,295,0,No
2025-02-02,Hydra Cream,0,53,53,0,19,Yes
2025-02-02,Eye Repair Serum,138,20,17,141,0,No
2025-02-03,Vitamin C Serum,295,43,32,306,0,No
2025-02-03,Hydra Cream,0,51,51,0,2,Yes
2025-02-03,Eye Repair Serum,141,19,17,143,0,No
2025-02-04,Vitamin C Serum,306,44,29,321,0,No
2025-02-04,Hydra Cream,0,55,55,0,3,Yes
2025-02-04,Eye Repair Serum,143,19,14,148,0,No
2025-02-05,Vitamin C Serum,321,41,28,334,0,No
2025-02-05,Hydra Cream,0,54,54,0,17,Yes
2025-02-05,Eye Repair Serum,148,18,18,148,0,No
2025-02-06,Vitamin C Serum,334,38,28,344,0,No
2025-02-06,Hydra Cream,0,46,46,0,8,Yes
2025-02-06,Eye Repair Serum,148,20,19,149,0,No
2025-02-07,Vitamin C Serum,344,44,37,351,0,No
2025-02-07,Hydra Cream,0,55,55,0,10,Yes
2025-02-07,Eye Repair Serum,149,19,14,154,0,No
2025-02-08,Vitamin C Serum,351,17,26,342,0,No
2025-02-08,Hydra Cream,0,54,54,0,8,Yes
2025-02-08,Eye Repair Serum,154,18,18,154,0,No
2025-02-09,Vitamin C Serum,342,39,34,347,0,No
2025-02-09,Hydra Cream,0,52,52,0,14,Yes
2025-02-09,Eye Repair Serum,154,19,17,156,0,No
2025-02-10,Vitamin C Serum,347,43,26,364,0,No
2025-02-10,Hydra Cream,0,53,53,0,9,Yes
2025-02-10,Eye Repair Serum,156,18,16,158,0,No
2025-02-11,Vitamin C Serum,364,38,31,371,0,No
2025-02-11,Hydra Cream,0,56,56,0,8,Yes
2025-02-11,Eye Repair Serum,158,17,14,161,0,No
2025-02-12,Vitamin C Serum,371,44,28,387,0,No
2025-02-12,Hydra Cream,0,54,54,0,18,Yes
2025-02-12,Eye Repair Serum,161,16,19,158,0,No
2025-02-13,Vitamin C Serum,387,39,37,389,0,No
2025-02-13,Hydra Cream,0,46,46,0,16,Yes
2025-02-13,Eye Repair Serum,158,17,17,158,0,No
2025-02-14,Vitamin C Serum,389,41,33,397,0,No
2025-02-14,Hydra Cream,0,52,52,0,33,Yes
2025-02-14,Eye Repair Serum,158,18,15,161,0,No
2025-02-15,Vitamin C Serum,397,40,27,410,0,No
2025-02-15,Hydra Cream,0,50,50,0,8,Yes
2025-02-15,Eye Repair Serum,161,16,18,159,0,No
2025-02-16,Vitamin C Serum,410,42,29,423,0,No
2025-02-16,Hydra Cream,0,53,53,0,28,Yes
2025-02-16,Eye Repair Serum,159,18,15,162,0,No
2025-02-17,Vitamin C Serum,423,43,29,437,0,No
2025-02-17,Hydra Cream,0,20,20,0,47,Yes
2025-02-17,Eye Repair Serum,162,16,15,163,0,No
2025-02-18,Vitamin C Serum,437,40,26,451,0,No
2025-02-18,Hydra Cream,0,55,55,0,27,Yes
2025-02-18,Eye Repair Serum,163,19,16,166,0,No
2025-02-19,Vitamin C Serum,451,41,37,455,0,No
2025-02-19,Hydra Cream,0,49,49,0,35,Yes
2025-02-19,Eye Repair Serum,166,16,16,166,0,No
2025-02-20,Vitamin C Serum,455,41,27,469,0,No
2025-02-20,Hydra Cream,0,54,54,0,30,Yes
2025-02-20,Eye Repair Serum,166,19,19,166,0,No
2025-02-21,Vitamin C Serum,469,38,37,470,0,No
2025-02-21,Hydra Cream,0,52,52,0,7,Yes
2025-02-21,Eye Repair Serum,166,17,15,168,0,No
2025-02-22,Vitamin C Serum,470,39,26,483,0,No
2025-02-22,Hydra Cream,0,46,46,0,10,Yes
2025-02-22,Eye Repair Serum,168,17,15,170,0,No
2025-02-23,Vitamin C Serum,483,40,34,489,0,No
2025-02-23,Hydra Cream,0,49,49,0,16,Yes
2025-02-23,Eye Repair Serum,170,19,13,176,0,No
2025-02-24,Vitamin C Serum,489,45,32,502,0,No
2025-02-24,Hydra Cream,0,54,54,0,10,Yes
2025-02-24,Eye Repair Serum,176,18,14,180,0,No
2025-02-25,Vitamin C Serum,502,43,29,516,0,No
2025-02-25,Hydra Cream,0,47,47,0,12,Yes
