date,channel,spend,impressions,clicks,conversions,revenue
2025-01-01,Instagram,14775.57,274436,8710,1041,65420.0
2025-01-01,Google,9986.93,112654,4054,538,30660.0
2025-01-01,Influencers,11174.41,254703,1611,48,18977.0
2025-01-02,Instagram,14273.28,253109,9145,1456,62921.0
2025-01-02,Google,14558.69,201058,8561,1181,39353.0
2025-01-02,Influencers,9049.73,102748,1393,24,13381.0
2025-01-03,Instagram,14855.89,351494,10915,1466,71013.0
2025-01-03,Google,7323.77,121548,4647,377,27165.0
2025-01-03,Influencers,13409.49,166426,2242,44,24272.0
2025-01-04,Instagram,10400.54,121267,5872,918,51733.0
2025-01-04,Google,9155.13,114047,4867,323,33061.0
2025-01-04,Influencers,7704.26,129007,1566,53,15483.0
2025-01-05,Instagram,10648.37,202673,8339,1232,42946.0
2025-01-05,Google,7331.96,173957,5726,575,26669.0
2025-01-05,Influencers,12591.71,208635,2997,96,20078.0
2025-01-06,Instagram,13996.22,270162,15239,2587,52138.0
2025-01-06,Google,8564.88,101672,3692,301,32463.0
2025-01-06,Influencers,15848.27,227439,2896,109,21673.0
2025-01-07,Instagram,13355.71,246366,9784,1175,61030.0
2025-01-07,Google,7825.37,116339,4910,386,27466.0
2025-01-07,Influencers,11601.05,246045,2328,51,17479.0
2025-01-08,Instagram,9201.4,325384,11256,2078,47646.0
2025-01-08,Google,5976.24,104064,3160,233,15481.0
2025-01-08,Influencers,5610.05,245395,1256,45,10788.0
2025-01-09,Instagram,9862.36,201593,10581,1554,40451.0
2025-01-09,Google,7931.91,246209,6275,812,21974.0
2025-01-09,Influencers,11974.27,285745,1932,34,16678.0
2025-01-10,Instagram,10877.93,147034,6258,1227,40552.0
2025-01-10,Google,6723.48,127869,4458,344,18977.0
2025-01-10,Influencers,8749.69,167412,2305,67,12681.0
2025-01-11,Instagram,9412.0,127208,5324,598,46342.0
2025-01-11,Google,6931.47,145729,4861,388,23771.0
2025-01-11,Influencers,6586.06,81503,973,34,9087.0
2025-01-12,Instagram,8506.73,146879,5311,1009,34060.0
2025-01-12,Google,5162.25,64178,2189,191,15782.0
2025-01-12,Influencers,8645.16,248864,1700,63,13383.0
2025-01-13,Instagram,7038.24,133037,4911,610,38250.0
2025-01-13,Google,8314.5,140650,4812,430,30864.0
2025-01-13,Influencers,7274.48,104243,1451,16,11185.0
2025-01-14,Instagram,10766.38,224246,10692,1190,39747.0
2025-01-14,Google,7893.71,275388,6098,810,21875.0
