date,product,region,channel,units_sold,revenue,CAC
2025-01-01,Vitamin C Serum,North,Instagram,3,2697.0,14.193631123919308
2025-01-01,Vitamin C Serum,North,Google,4,3596.0,18.56306691449814
2025-01-01,Vitamin C Serum,North,Influencers,1,899.0,232.80020833333333
2025-01-01,Vitamin C Serum,South,Instagram,5,4495.0,14.193631123919308
2025-01-01,Vitamin C Serum,South,Google,1,899.0,18.56306691449814
2025-01-01,Vitamin C Serum,South,Influencers,3,2697.0,232.80020833333333
2025-01-01,Vitamin C Serum,East,Instagram,9,8091.0,14.193631123919308
2025-01-01,Vitamin C Serum,East,Google,5,4495.0,18.56306691449814
2025-01-01,Vitamin C Serum,East,Influencers,3,2697.0,232.80020833333333
2025-01-01,Vitamin C Serum,West,Instagram,4,3596.0,14.193631123919308
2025-01-01,Vitamin C Serum,West,Google,3,2697.0,18.56306691449814
2025-01-01,Vitamin C Serum,West,Influencers,1,899.0,232.80020833333333
2025-01-01,Hydra Cream,North,Instagram,9,5391.0,14.193631123919308
2025-01-01,Hydra Cream,North,Google,5,2995.0,18.56306691449814
2025-01-01,Hydra Cream,North,Influencers,2,1198.0,232.80020833333333
2025-01-01,Hydra Cream,South,Instagram,17,10183.0,14.193631123919308
2025-01-01,Hydra Cream,South,Google,7,4193.0,18.56306691449814
2025-01-01,Hydra Cream,South,Influencers,2,1198.0,232.80020833333333
2025-01-01,Hydra Cream,East,Instagram,14,8386.0,14.193631123919308
2025-01-01,Hydra Cream,East,Google,9,5391.0,18.56306691449814
2025-01-01,Hydra Cream,East,Influencers,7,4193.0,232.80020833333333
2025-01-01,Hydra Cream,West,Instagram,3,1797.0,14.193631123919308
2025-01-01,Hydra Cream,West,Google,2,1198.0,18.56306691449814
2025-01-01,Hydra Cream,West,Influencers,0,0.0,232.80020833333333
2025-01-01,Eye Repair Serum,North,Instagram,3,3897.0,14.193631123919308
2025-01-01,Eye Repair Serum,North,Google,1,1299.0,18.56306691449814
2025-01-01,Eye Repair Serum,North,Influencers,0,0.0,232.80020833333333
2025-01-01,Eye Repair Serum,South,Instagram,5,6495.0,14.193631123919308
2025-01-01,Eye Repair Serum,South,Google,0,0.0,18.56306691449814
2025-01-01,Eye Repair Serum,South,Influencers,0,0.0,232.80020833333333
2025-01-01,Eye Repair Serum,East,Instagram,6,7794.0,14.193631123919308
2025-01-01,Eye Repair Serum,East,Google,2,2598.0,18.56306691449814
2025-01-01,Eye Repair Serum,East,Influencers,4,5196.0,232.80020833333333
2025-01-01,Eye Repair Serum,West,Instagram,2,2598.0,14.193631123919308
2025-01-01,Eye Repair Serum,West,Google,1,1299.0,18.56306691449814
2025-01-01,Eye Repair Serum,West,Influencers,0,0.0,232.80020833333333
2025-01-02,Vitamin C Serum,North,Instagram,10,8990.0,9.803076923076924
2025-01-02,Vitamin C Serum,North,Google,7,6293.0,12.327425910245555
2025-01-02,Vitamin C Serum,North,Influencers,0,0.0,377.0720833333333
2025-01-02,Vitamin C Serum,South,Instagram,6,5394.0,9.803076923076924
2025-01-02,Vitamin C Serum,South,Google,5,4495.0,12.327425910245555
2025-01-02,Vitamin C Serum,South,Influencers,1,899.0,377.0720833333333
2025-01-02,Vitamin C Serum,East,Instagram,5,4495.0,9.803076923076924
2025-01-02,Vitamin C Serum,East,Google,8,7192.0,12.327425910245555
2025-01-02,Vitamin C Serum,East,Influencers,1,899.0,377.0720833333333
2025-01-02,Vitamin C Serum,West,Instagram,3,2697.0,9.803076923076924
2025-01-02,Vitamin C Serum,West,Google,1,899.0,12.327425910245555
2025-01-02,Vitamin C Serum,West,Influencers,0,0.0,377.0720833333333
2025-01-02,Hydra Cream,North,Instagram,13,7787.0,9.803076923076924
2025-01-02,Hydra Cream,North,Google,5,2995.0,12.327425910245555
2025-01-02,Hydra Cream,North,Influencers,4,2396.0,377.0720833333333
2025-01-02,Hydra Cream,South,Instagram,13,7787.0,9.803076923076924
2025-01-02,Hydra Cream,South,Google,6,3594.0,12.327425910245555
2025-01-02,Hydra Cream,South,Influencers,5,2995.0,377.0720833333333
2025-01-02,Hydra Cream,East,Instagram,12,7188.0,9.803076923076924
2025-01-02,Hydra Cream,East,Google,4,2396.0,12.327425910245555
2025-01-02,Hydra Cream,East,Influencers,4,2396.0,377.0720833333333
2025-01-02,Hydra Cream,West,Instagram,5,2995.0,9.803076923076924
2025-01-02,Hydra Cream,West,Google,4,2396.0,12.327425910245555
2025-01-02,Hydra Cream,West,Influencers,2,1198.0,377.0720833333333
2025-01-02,Eye Repair Serum,North,Instagram,2,2598.0,9.803076923076924
2025-01-02,Eye Repair Serum,North,Google,2,2598.0,12.327425910245555
2025-01-02,Eye Repair Serum,North,Influencers,0,0.0,377.0720833333333
2025-01-02,Eye Repair Serum,South,Instagram,5,6495.0,9.803076923076924
2025-01-02,Eye Repair Serum,South,Google,0,0.0,12.327425910245555
2025-01-02,Eye Repair Serum,South,Influencers,2,2598.0,377.0720833333333
2025-01-02,Eye Repair Serum,East,Instagram,4,5196.0,9.803076923076924
2025-01-02,Eye Repair Serum,East,Google,4,5196.0,12.327425910245555
2025-01-02,Eye Repair Serum,East,Influencers,0,0.0,377.0720833333333
2025-01-02,Eye Repair Serum,West,Instagram,1,1299.0,9.803076923076924
2025-01-02,Eye Repair Serum,West,Google,1,1299.0,12.327425910245555
2025-01-02,Eye Repair Serum,West,Influencers,0,0.0,377.0720833333333
2025-01-03,Vitamin C Serum,North,Instagram,7,6293.0,10.133622100954979
2025-01-03,Vitamin C Serum,North,Google,2,1798.0,19.426445623342175
2025-01-03,Vitamin C Serum,North,Influencers,2,1798.0,304.76113636363635
2025-01-03,Vitamin C Serum,South,Instagram,13,11687.0,10.133622100954979
2025-01-03,Vitamin C Serum,South,Google,4,3596.0,19.426445623342175
2025-01-03,Vitamin C Serum,South,Influencers,2,1798.0,304.76113636363635
2025-01-03,Vitamin C Serum,East,Instagram,9,8091.0,10.133622100954979
2025-01-03,Vitamin C Serum,East,Google,1,899.0,19.426445623342175
2025-01-03,Vitamin C Serum,East,Influencers,4,3596.0,304.76113636363635
2025-01-03,Vitamin C Serum,West,Instagram,6,5394.0,10.133622100954979
2025-01-03,Vitamin C Serum,West,Google,2,1798.0,19.426445623342175
2025-01-03,Vitamin C Serum,West,Influencers,3,2697.0,304.76113636363635
2025-01-03,Hydra Cream,North,Instagram,5,2995.0,10.133622100954979
2025-01-03,Hydra Cream,North,Google,6,3594.0,19.426445623342175
2025-01-03,Hydra Cream,North,Influencers,3,1797.0,304.76113636363635
2025-01-03,Hydra Cream,South,Instagram,13,7787.0,10.133622100954979
2025-01-03,Hydra Cream,South,Google,6,3594.0,19.426445623342175
2025-01-03,Hydra Cream,South,Influencers,4,2396.0,304.76113636363635
2025-01-03,Hydra Cream,East,Instagram,15,8985.0,10.133622100954979
2025-01-03,Hydra Cream,East,Google,4,2396.0,19.426445623342175
2025-01-03,Hydra Cream,East,Influencers,3,1797.0,304.76113636363635
2025-01-03,Hydra Cream,West,Instagram,7,4193.0,10.133622100954979
2025-01-03,Hydra Cream,West,Google,5,2995.0,19.426445623342175
2025-01-03,Hydra Cream,West,Influencers,1,599.0,304.76113636363635
2025-01-03,Eye Repair Serum,North,Instagram,4,5196.0,10.133622100954979
2025-01-03,Eye Repair Serum,North,Google,0,0.0,19.426445623342175
2025-01-03,Eye Repair Serum,North,Influencers,0,0.0,304.76113636363635
2025-01-03,Eye Repair Serum,South,Instagram,2,2598.0,10.133622100954979
2025-01-03,Eye Repair Serum,South,Google,3,3897.0,19.426445623342175
2025-01-03,Eye Repair Serum,South,Influencers,2,2598.0,304.76113636363635
2025-01-03,Eye Repair Serum,East,Instagram,5,6495.0,10.133622100954979
2025-01-03,Eye Repair Serum,East,Google,1,1299.0,19.426445623342175
2025-01-03,Eye Repair Serum,East,Influencers,2,2598.0,304.76113636363635
2025-01-03,Eye Repair Serum,West,Instagram,1,1299.0,10.133622100954979
2025-01-03,Eye Repair Serum,West,Google,1,1299.0,19.426445623342175
2025-01-03,Eye Repair Serum,West,Influencers,2,2598.0,304.76113636363635
2025-01-04,Vitamin C Serum,North,Instagram,6,5394.0,11.329564270152506
2025-01-04,Vitamin C Serum,North,Google,6,5394.0,28.344055727554178
2025-01-04,Vitamin C Serum,North,Influencers,3,2697.0,145.3633962264151
2025-01-04,Vitamin C Serum,South,Instagram,6,5394.0,11.329564270152506
2025-01-04,Vitamin C Serum,South,Google,6,5394.0,28.344055727554178
2025-01-04,Vitamin C Serum,South,Influencers,1,899.0,145.3633962264151
2025-01-04,Vitamin C Serum,East,Instagram,7,6293.0,11.329564270152506
2025-01-04,Vitamin C Serum,East,Google,2,1798.0,28.344055727554178
2025-01-04,Vitamin C Serum,East,Influencers,2,1798.0,145.3633962264151
2025-01-04,Vitamin C Serum,West,Instagram,1,899.0,11.329564270152506
2025-01-04,Vitamin C Serum,West,Google,2,1798.0,28.344055727554178
2025-01-04,Vitamin C Serum,West,Influencers,0,0.0,145.3633962264151
2025-01-04,Hydra Cream,North,Instagram,10,5990.0,11.329564270152506
2025-01-04,Hydra Cream,North,Google,4,2396.0,28.344055727554178
2025-01-04,Hydra Cream,North,Influencers,0,0.0,145.3633962264151
2025-01-04,Hydra Cream,South,Instagram,12,7188.0,11.329564270152506
2025-01-04,Hydra Cream,South,Google,6,3594.0,28.344055727554178
2025-01-04,Hydra Cream,South,Influencers,0,0.0,145.3633962264151
2025-01-04,Hydra Cream,East,Instagram,12,7188.0,11.329564270152506
2025-01-04,Hydra Cream,East,Google,6,3594.0,28.344055727554178
2025-01-04,Hydra Cream,East,Influencers,2,1198.0,145.3633962264151
2025-01-04,Hydra Cream,West,Instagram,5,2995.0,11.329564270152506
2025-01-04,Hydra Cream,West,Google,0,0.0,28.344055727554178
2025-01-04,Hydra Cream,West,Influencers,4,2396.0,145.3633962264151
2025-01-04,Eye Repair Serum,North,Instagram,2,2598.0,11.329564270152506
2025-01-04,Eye Repair Serum,North,Google,0,0.0,28.344055727554178
2025-01-04,Eye Repair Serum,North,Influencers,0,0.0,145.3633962264151
2025-01-04,Eye Repair Serum,South,Instagram,2,2598.0,11.329564270152506
2025-01-04,Eye Repair Serum,South,Google,1,1299.0,28.344055727554178
2025-01-04,Eye Repair Serum,South,Influencers,3,3897.0,145.3633962264151
2025-01-04,Eye Repair Serum,East,Instagram,2,2598.0,11.329564270152506
2025-01-04,Eye Repair Serum,East,Google,4,5196.0,28.344055727554178
2025-01-04,Eye Repair Serum,East,Influencers,1,1299.0,145.3633962264151
2025-01-04,Eye Repair Serum,West,Instagram,2,2598.0,11.329564270152506
2025-01-04,Eye Repair Serum,West,Google,2,2598.0,28.344055727554178
2025-01-04,Eye Repair Serum,West,Influencers,1,1299.0,145.3633962264151
2025-01-05,Vitamin C Serum,North,Instagram,7,6293.0,8.643157467532468
2025-01-05,Vitamin C Serum,North,Google,2,1798.0,12.751234782608696
2025-01-05,Vitamin C Serum,North,Influencers,3,2697.0,131.16364583333333
2025-01-05,Vitamin C Serum,South,Instagram,6,5394.0,8.643157467532468
2025-01-05,Vitamin C Serum,South,Google,6,5394.0,12.751234782608696
2025-01-05,Vitamin C Serum,South,Influencers,2,1798.0,131.16364583333333
2025-01-05,Vitamin C Serum,East,Instagram,3,2697.0,8.643157467532468
2025-01-05,Vitamin C Serum,East,Google,4,3596.0,12.751234782608696
2025-01-05,Vitamin C Serum,East,Influencers,3,2697.0,131.16364583333333
2025-01-05,Vitamin C Serum,West,Instagram,3,2697.0,8.643157467532468
2025-01-05,Vitamin C Serum,West,Google,1,899.0,12.751234782608696
2025-01-05,Vitamin C Serum,West,Influencers,1,899.0,131.16364583333333
2025-01-05,Hydra Cream,North,Instagram,4,2396.0,8.643157467532468
2025-01-05,Hydra Cream,North,Google,3,1797.0,12.751234782608696
2025-01-05,Hydra Cream,North,Influencers,2,1198.0,131.16364583333333
2025-01-05,Hydra Cream,South,Instagram,10,5990.0,8.643157467532468
2025-01-05,Hydra Cream,South,Google,5,2995.0,12.751234782608696
2025-01-05,Hydra Cream,South,Influencers,2,1198.0,131.16364583333333
2025-01-05,Hydra Cream,East,Instagram,12,7188.0,8.643157467532468
2025-01-05,Hydra Cream,East,Google,4,2396.0,12.751234782608696
2025-01-05,Hydra Cream,East,Influencers,1,599.0,131.16364583333333
2025-01-05,Hydra Cream,West,Instagram,2,1198.0,8.643157467532468
2025-01-05,Hydra Cream,West,Google,0,0.0,12.751234782608696
2025-01-05,Hydra Cream,West,Influencers,2,1198.0,131.16364583333333
2025-01-05,Eye Repair Serum,North,Instagram,0,0.0,8.643157467532468
2025-01-05,Eye Repair Serum,North,Google,1,1299.0,12.751234782608696
2025-01-05,Eye Repair Serum,North,Influencers,0,0.0,131.16364583333333
2025-01-05,Eye Repair Serum,South,Instagram,5,6495.0,8.643157467532468
2025-01-05,Eye Repair Serum,South,Google,2,2598.0,12.751234782608696
2025-01-05,Eye Repair Serum,South,Influencers,3,3897.0,131.16364583333333
2025-01-05,Eye Repair Serum,East,Instagram,2,2598.0,8.643157467532468
2025-01-05,Eye Repair Serum,East,Google,3,3897.0,12.751234782608696
2025-01-05,Eye Repair Serum,East,Influencers,3,3897.0,131.16364583333333
2025-01-05,Eye Repair Serum,West,Instagram,0,0.0,8.643157467532468
2025-01-05,Eye Repair Serum,West,Google,0,0.0,12.751234782608696
2025-01-05,Eye Repair Serum,West,Influencers,0,0.0,131.16364583333333
2025-01-06,Vitamin C Serum,North,Instagram,10,8990.0,5.410212601468882
2025-01-06,Vitamin C Serum,North,Google,2,1798.0,28.45475083056478
2025-01-06,Vitamin C Serum,North,Influencers,2,1798.0,145.39697247706422
2025-01-06,Vitamin C Serum,South,Instagram,8,7192.0,5.410212601468882
2025-01-06,Vitamin C Serum,South,Google,8,7192.0,28.45475083056478
2025-01-06,Vitamin C Serum,South,Influencers,0,0.0,145.39697247706422
2025-01-06,Vitamin C Serum,East,Instagram,8,7192.0,5.410212601468882
2025-01-06,Vitamin C Serum,East,Google,7,6293.0,28.45475083056478
2025-01-06,Vitamin C Serum,East,Influencers,3,2697.0,145.39697247706422
2025-01-06,Vitamin C Serum,West,Instagram,3,2697.0,5.410212601468882
2025-01-06,Vitamin C Serum,West,Google,1,899.0,28.45475083056478
2025-01-06,Vitamin C Serum,West,Influencers,4,3596.0,145.39697247706422
2025-01-06,Hydra Cream,North,Instagram,4,2396.0,5.410212601468882
2025-01-06,Hydra Cream,North,Google,2,1198.0,28.45475083056478
2025-01-06,Hydra Cream,North,Influencers,4,2396.0,145.39697247706422
2025-01-06,Hydra Cream,South,Instagram,11,6589.0,5.410212601468882
2025-01-06,Hydra Cream,South,Google,7,4193.0,28.45475083056478
2025-01-06,Hydra Cream,South,Influencers,4,2396.0,145.39697247706422
2025-01-06,Hydra Cream,East,Instagram,5,2995.0,5.410212601468882
2025-01-06,Hydra Cream,East,Google,3,1797.0,28.45475083056478
2025-01-06,Hydra Cream,East,Influencers,3,1797.0,145.39697247706422
2025-01-06,Hydra Cream,West,Instagram,4,2396.0,5.410212601468882
2025-01-06,Hydra Cream,West,Google,0,0.0,28.45475083056478
2025-01-06,Hydra Cream,West,Influencers,3,1797.0,145.39697247706422
2025-01-06,Eye Repair Serum,North,Instagram,4,5196.0,5.410212601468882
2025-01-06,Eye Repair Serum,North,Google,1,1299.0,28.45475083056478
2025-01-06,Eye Repair Serum,North,Influencers,0,0.0,145.39697247706422
2025-01-06,Eye Repair Serum,South,Instagram,2,2598.0,5.410212601468882
2025-01-06,Eye Repair Serum,South,Google,0,0.0,28.45475083056478
2025-01-06,Eye Repair Serum,South,Influencers,1,1299.0,145.39697247706422
2025-01-06,Eye Repair Serum,East,Instagram,3,3897.0,5.410212601468882
2025-01-06,Eye Repair Serum,East,Google,5,6495.0,28.45475083056478
2025-01-06,Eye Repair Serum,East,Influencers,2,2598.0,145.39697247706422
2025-01-06,Eye Repair Serum,West,Instagram,0,0.0,5.410212601468882
2025-01-06,Eye Repair Serum,West,Google,1,1299.0,28.45475083056478
2025-01-06,Eye Repair Serum,West,Influencers,1,1299.0,145.39697247706422
2025-01-07,Vitamin C Serum,North,Instagram,8,7192.0,11.366561702127658
2025-01-07,Vitamin C Serum,North,Google,4,3596.0,20.272979274611398
2025-01-07,Vitamin C Serum,North,Influencers,3,2697.0,227.47156862745098
2025-01-07,Vitamin C Serum,South,Instagram,12,10788.0,11.366561702127658
2025-01-07,Vitamin C Serum,South,Google,3,2697.0,20.272979274611398
2025-01-07,Vitamin C Serum,South,Influencers,3,2697.0,227.47156862745098
2025-01-07,Vitamin C Serum,East,Instagram,8,7192.0,11.366561702127658
2025-01-07,Vitamin C Serum,East,Google,3,2697.0,20.272979274611398
2025-01-07,Vitamin C Serum,East,Influencers,0,0.0,227.47156862745098
2025-01-07,Vitamin C Serum,West,Instagram,3,2697.0,11.366561702127658
2025-01-07,Vitamin C Serum,West,Google,2,1798.0,20.272979274611398
2025-01-07,Vitamin C Serum,West,Influencers,1,899.0,227.47156862745098
2025-01-07,Hydra Cream,North,Instagram,7,4193.0,11.366561702127658
2025-01-07,Hydra Cream,North,Google,8,4792.0,20.272979274611398
2025-01-07,Hydra Cream,North,Influencers,3,1797.0,227.47156862745098
2025-01-07,Hydra Cream,South,Instagram,8,4792.0,11.366561702127658
2025-01-07,Hydra Cream,South,Google,8,4792.0,20.272979274611398
2025-01-07,Hydra Cream,South,Influencers,3,1797.0,227.47156862745098
2025-01-07,Hydra Cream,East,Instagram,4,2396.0,11.366561702127658
2025-01-07,Hydra Cream,East,Google,1,599.0,20.272979274611398
2025-01-07,Hydra Cream,East,Influencers,2,1198.0,227.47156862745098
2025-01-07,Hydra Cream,West,Instagram,6,3594.0,11.366561702127658
2025-01-07,Hydra Cream,West,Google,0,0.0,20.272979274611398
2025-01-07,Hydra Cream,West,Influencers,2,1198.0,227.47156862745098
2025-01-07,Eye Repair Serum,North,Instagram,5,6495.0,11.366561702127658
2025-01-07,Eye Repair Serum,North,Google,1,1299.0,20.272979274611398
2025-01-07,Eye Repair Serum,North,Influencers,0,0.0,227.47156862745098
2025-01-07,Eye Repair Serum,South,Instagram,6,7794.0,11.366561702127658
2025-01-07,Eye Repair Serum,South,Google,3,3897.0,20.272979274611398
2025-01-07,Eye Repair Serum,South,Influencers,2,2598.0,227.47156862745098
2025-01-07,Eye Repair Serum,East,Instagram,1,1299.0,11.366561702127658
2025-01-07,Eye Repair Serum,East,Google,1,1299.0,20.272979274611398
2025-01-07,Eye Repair Serum,East,Influencers,2,2598.0,227.47156862745098
2025-01-07,Eye Repair Serum,West,Instagram,2,2598.0,11.366561702127658
2025-01-07,Eye Repair Serum,West,Google,0,0.0,20.272979274611398
2025-01-07,Eye Repair Serum,West,Influencers,0,0.0,227.47156862745098
2025-01-08,Vitamin C Serum,North,Instagram,2,1798.0,4.4280076997112605
2025-01-08,Vitamin C Serum,North,Google,2,1798.0,25.64909871244635
2025-01-08,Vitamin C Serum,North,Influencers,0,0.0,124.66777777777779
