date,product,opening_stock,units_produced,units_dispatched,closing_stock,lost_demand,stockout_flag
2025-01-01,Vanilla Shake,100,117,131,86,0,No
2025-01-01,Chocolate Shake,100,104,113,91,0,No
2025-01-01,Banana Shake,100,63,71,92,0,No
2025-01-02,Vanilla Shake,86,121,104,103,0,No
2025-01-02,Chocolate Shake,91,104,110,85,0,No
2025-01-02,Banana Shake,92,63,72,83,0,No
2025-01-03,Vanilla Shake,103,105,127,81,0,No
2025-01-03,Chocolate Shake,85,91,83,93,0,No
2025-01-03,Banana Shake,83,60,75,68,0,No
2025-01-04,Vanilla Shake,81,106,107,80,0,No
2025-01-04,Chocolate Shake,93,92,96,89,0,No
2025-01-04,Banana Shake,68,59,77,50,0,No
2025-01-05,Vanilla Shake,80,109,102,87,0,No
2025-01-05,Chocolate Shake,89,94,93,90,0,No
2025-01-05,Banana Shake,50,58,70,38,0,No
2025-01-06,Vanilla Shake,87,116,111,92,0,No
2025-01-06,Chocolate Shake,90,5,91,4,0,No
2025-01-06,Banana Shake,38,62,65,35,0,No
2025-01-07,Vanilla Shake,92,104,105,91,0,No
2025-01-07,Chocolate Shake,4,101,101,4,0,No
2025-01-07,Banana Shake,35,67,59,43,0,No
2025-01-08,Vanilla Shake,91,102,116,77,0,No
2025-01-08,Chocolate Shake,4,90,94,0,7,Yes
2025-01-08,Banana Shake,43,59,65,37,0,No
2025-01-09,Vanilla Shake,77,115,141,51,0,No
2025-01-09,Chocolate Shake,0,109,89,20,0,No
2025-01-09,Banana Shake,37,63,64,36,0,No
2025-01-10,Vanilla Shake,51,102,103,50,0,No
2025-01-10,Chocolate Shake,20,104,114,10,0,No
2025-01-10,Banana Shake,36,56,57,35,0,No
2025-01-11,Vanilla Shake,50,116,136,30,0,No
2025-01-11,Chocolate Shake,10,96,106,0,0,Yes
2025-01-11,Banana Shake,35,64,78,21,0,No
2025-01-12,Vanilla Shake,30,122,127,25,0,No
2025-01-12,Chocolate Shake,0,101,101,0,2,Yes
2025-01-12,Banana Shake,21,58,76,3,0,No
2025-01-13,Vanilla Shake,25,108,133,0,6,Yes
2025-01-13,Chocolate Shake,0,95,95,0,17,Yes
2025-01-13,Banana Shake,3,59,62,0,7,Yes
2025-01-14,Vanilla Shake,0,1,1,0,97,Yes
