date,channel,spend,impressions,clicks,conversions,revenue
2025-01-01,Instagram,6504.19,468171,8372,660,31610.0
2025-01-01,Google,5466.72,334936,3074,138,15380.0
2025-01-01,Influencers,5079.56,178935,7108,1712,9290.0
2025-01-02,Instagram,6990.95,271887,4917,595,27700.0
2025-01-02,Google,5557.5,157541,1942,73,13980.0
2025-01-02,Influencers,2712.67,145680,5505,1351,9420.0
2025-01-03,Instagram,6995.16,326670,5006,482,25810.0
2025-01-03,Google,5958.75,278750,2266,45,16040.0
2025-01-03,Influencers,3190.45,131349,7759,1892,9370.0
2025-01-04,Instagram,7453.87,547904,11114,1382,28650.0
2025-01-04,Google,4996.66,181599,2142,80,12430.0
2025-01-04,Influencers,3954.42,111990,5254,1073,9130.0
2025-01-05,Instagram,5772.23,410857,7223,694,27580.0
2025-01-05,Google,4115.04,97224,1386,30,11310.0
2025-01-05,Influencers,3711.51,87956,5207,1291,8580.0
2025-01-06,Instagram,5907.92,692924,9553,1282,22150.0
2025-01-06,Google,6002.67,360534,3475,47,13680.0
2025-01-06,Influencers,6247.38,133416,7811,946,11970.0
2025-01-07,Instagram,6187.12,352803,4187,263,22910.0
2025-01-07,Google,7155.57,188885,2503,94,15450.0
2025-01-07,Influencers,4336.35,140367,5547,816,8920.0
2025-01-08,Instagram,4292.31,340631,7095,988,21760.0
2025-01-08,Google,5880.26,198444,2591,37,18160.0
2025-01-08,Influencers,4534.46,144774,6562,1451,9290.0
2025-01-09,Instagram,6652.67,218595,6283,705,27010.0
2025-01-09,Google,7742.0,462593,3070,97,15750.0
2025-01-09,Influencers,4742.92,323699,10880,2365,9910.0
2025-01-10,Instagram,5103.87,323652,4383,292,24510.0
2025-01-10,Google,7583.46,639342,4487,222,16150.0
2025-01-10,Influencers,3278.02,137174,4331,928,8090.0
2025-01-11,Instagram,7167.83,615346,7094,716,29060.0
2025-01-11,Google,6151.36,439307,3996,181,16770.0
2025-01-11,Influencers,3699.13,200000,6575,854,11490.0
2025-01-12,Instagram,5818.66,335011,5053,398,26090.0
2025-01-12,Google,8346.74,276455,3831,188,16850.0
2025-01-12,Influencers,3587.35,215238,10262,2220,11530.0
2025-01-13,Instagram,6329.36,221121,4390,471,28480.0
2025-01-13,Google,7393.16,213557,3141,117,14540.0
2025-01-13,Influencers,3506.68,172977,7613,1090,8850.0
2025-01-14,Instagram,2702.1,76730,1951,170,12570.0
2025-01-14,Google,2360.75,158996,946,15,6830.0
2025-01-14,Influencers,2146.84,72454,3770,780,5190.0
2025-01-15,Instagram,5225.28,132220,3691,496,24470.0
2025-01-15,Google,7698.92,322208,4686,88,15000.0
2025-01-15,Influencers,5197.75,231064,9644,1731,10090.0
2025-01-16,Instagram,3874.79,146063,2618,142,16490.0
2025-01-16,Google,5905.96,414685,3846,115,11550.0
2025-01-16,Influencers,1965.94,85841,4015,831,6810.0
2025-01-17,Instagram,6405.84,276577,7000,899,23360.0
2025-01-17,Google,6510.54,259543,3422,110,17100.0
2025-01-17,Influencers,4600.49,162435,9158,1576,9190.0
2025-01-18,Instagram,5595.13,269571,5712,582,23560.0
2025-01-18,Google,6712.22,269684,3518,126,13850.0
2025-01-18,Influencers,3894.98,232255,9209,1505,8610.0
2025-01-19,Instagram,4750.02,346112,4088,340,23560.0
2025-01-19,Google,5752.64,198265,2138,58,13570.0
2025-01-19,Influencers,2806.43,213599,6508,1281,9850.0
2025-01-20,Instagram,4001.32,165549,2966,194,17260.0
2025-01-20,Google,5148.6,474805,3074,59,13120.0
2025-01-20,Influencers,5719.38,179515,10391,1543,10180.0
2025-01-21,Instagram,5694.19,724058,9018,968,23840.0
2025-01-21,Google,8624.41,223417,3151,138,17140.0
2025-01-21,Influencers,3682.82,89200,5182,1125,10180.0
2025-01-22,Instagram,3147.21,284838,2903,249,11500.0
2025-01-22,Google,2788.98,142026,1264,37,6910.0
2025-01-22,Influencers,2363.13,70089,4078,574,4860.0
2025-01-23,Instagram,4269.37,282989,4404,291,19650.0
2025-01-23,Google,4170.05,238142,2403,120,11230.0
2025-01-23,Influencers,3709.48,137284,6698,1163,6650.0
2025-01-24,Instagram,4030.43,273276,4277,569,15590.0
2025-01-24,Google,5994.64,149987,2036,69,11220.0
2025-01-24,Influencers,2142.41,87238,4484,1062,5860.0
2025-01-25,Instagram,4051.75,166879,3925,487,20590.0
2025-01-25,Google,3467.23,132658,1259,13,10960.0
2025-01-25,Influencers,4945.08,140585,8051,1465,9190.0
2025-01-26,Instagram,3747.97,104266,2588,371,16730.0
2025-01-26,Google,4144.27,101090,1407,28,12360.0
2025-01-26,Influencers,1989.78,82386,3541,651,7070.0
2025-01-27,Instagram,6338.57,255617,5106,685,24610.0
