date,product,region,channel,units_sold,revenue,CAC
2025-01-01,Vanilla Shake,North,Instagram,7,1260.0,9.854833333333334
2025-01-01,Vanilla Shake,North,Google,8,1440.0,39.61391304347826
2025-01-01,Vanilla Shake,North,Influencers,5,900.0,2.967032710280374
2025-01-01,Vanilla Shake,South,Instagram,20,3600.0,9.854833333333334
2025-01-01,Vanilla Shake,South,Google,15,2700.0,39.61391304347826
2025-01-01,Vanilla Shake,South,Influencers,5,900.0,2.967032710280374
2025-01-01,Vanilla Shake,East,Instagram,40,7200.0,9.854833333333334
2025-01-01,Vanilla Shake,East,Google,11,1980.0,39.61391304347826
2025-01-01,Vanilla Shake,East,Influencers,9,1620.0,2.967032710280374
2025-01-01,Vanilla Shake,West,Instagram,7,1260.0,9.854833333333334
2025-01-01,Vanilla Shake,West,Google,2,360.0,39.61391304347826
2025-01-01,Vanilla Shake,West,Influencers,2,360.0,2.967032710280374
2025-01-01,Chocolate Shake,North,Instagram,16,2720.0,9.854833333333334
2025-01-01,Chocolate Shake,North,Google,4,680.0,39.61391304347826
2025-01-01,Chocolate Shake,North,Influencers,3,510.0,2.967032710280374
2025-01-01,Chocolate Shake,South,Instagram,17,2890.0,9.854833333333334
2025-01-01,Chocolate Shake,South,Google,12,2040.0,39.61391304347826
2025-01-01,Chocolate Shake,South,Influencers,10,1700.0,2.967032710280374
2025-01-01,Chocolate Shake,East,Instagram,28,4760.0,9.854833333333334
2025-01-01,Chocolate Shake,East,Google,12,2040.0,39.61391304347826
2025-01-01,Chocolate Shake,East,Influencers,5,850.0,2.967032710280374
2025-01-01,Chocolate Shake,West,Instagram,3,510.0,9.854833333333334
2025-01-01,Chocolate Shake,West,Google,2,340.0,39.61391304347826
2025-01-01,Chocolate Shake,West,Influencers,1,170.0,2.967032710280374
2025-01-01,Banana Shake,North,Instagram,3,570.0,9.854833333333334
2025-01-01,Banana Shake,North,Google,3,570.0,39.61391304347826
2025-01-01,Banana Shake,North,Influencers,2,380.0,2.967032710280374
2025-01-01,Banana Shake,South,Instagram,17,3230.0,9.854833333333334
2025-01-01,Banana Shake,South,Google,10,1900.0,39.61391304347826
2025-01-01,Banana Shake,South,Influencers,4,760.0,2.967032710280374
2025-01-01,Banana Shake,East,Instagram,16,3040.0,9.854833333333334
2025-01-01,Banana Shake,East,Google,6,1140.0,39.61391304347826
2025-01-01,Banana Shake,East,Influencers,5,950.0,2.967032710280374
2025-01-01,Banana Shake,West,Instagram,3,570.0,9.854833333333334
2025-01-01,Banana Shake,West,Google,1,190.0,39.61391304347826
2025-01-01,Banana Shake,West,Influencers,1,190.0,2.967032710280374
2025-01-02,Vanilla Shake,North,Instagram,11,1980.0,11.749495798319327
2025-01-02,Vanilla Shake,North,Google,2,360.0,76.13013698630137
2025-01-02,Vanilla Shake,North,Influencers,5,900.0,2.0078978534418948
2025-01-02,Vanilla Shake,South,Instagram,16,2880.0,11.749495798319327
2025-01-02,Vanilla Shake,South,Google,8,1440.0,76.13013698630137
2025-01-02,Vanilla Shake,South,Influencers,6,1080.0,2.0078978534418948
2025-01-02,Vanilla Shake,East,Instagram,21,3780.0,11.749495798319327
2025-01-02,Vanilla Shake,East,Google,11,1980.0,76.13013698630137
2025-01-02,Vanilla Shake,East,Influencers,12,2160.0,2.0078978534418948
2025-01-02,Vanilla Shake,West,Instagram,6,1080.0,11.749495798319327
2025-01-02,Vanilla Shake,West,Google,4,720.0,76.13013698630137
2025-01-02,Vanilla Shake,West,Influencers,2,360.0,2.0078978534418948
2025-01-02,Chocolate Shake,North,Instagram,5,850.0,11.749495798319327
2025-01-02,Chocolate Shake,North,Google,8,1360.0,76.13013698630137
2025-01-02,Chocolate Shake,North,Influencers,5,850.0,2.0078978534418948
2025-01-02,Chocolate Shake,South,Instagram,12,2040.0,11.749495798319327
2025-01-02,Chocolate Shake,South,Google,10,1700.0,76.13013698630137
2025-01-02,Chocolate Shake,South,Influencers,9,1530.0,2.0078978534418948
2025-01-02,Chocolate Shake,East,Instagram,27,4590.0,11.749495798319327
2025-01-02,Chocolate Shake,East,Google,18,3060.0,76.13013698630137
2025-01-02,Chocolate Shake,East,Influencers,5,850.0,2.0078978534418948
2025-01-02,Chocolate Shake,West,Instagram,7,1190.0,11.749495798319327
2025-01-02,Chocolate Shake,West,Google,3,510.0,76.13013698630137
2025-01-02,Chocolate Shake,West,Influencers,1,170.0,2.0078978534418948
2025-01-02,Banana Shake,North,Instagram,11,2090.0,11.749495798319327
2025-01-02,Banana Shake,North,Google,4,760.0,76.13013698630137
2025-01-02,Banana Shake,North,Influencers,2,380.0,2.0078978534418948
2025-01-02,Banana Shake,South,Instagram,20,3800.0,11.749495798319327
2025-01-02,Banana Shake,South,Google,3,570.0,76.13013698630137
2025-01-02,Banana Shake,South,Influencers,1,190.0,2.0078978534418948
2025-01-02,Banana Shake,East,Instagram,14,2660.0,11.749495798319327
2025-01-02,Banana Shake,East,Google,8,1520.0,76.13013698630137
2025-01-02,Banana Shake,East,Influencers,3,570.0,2.0078978534418948
2025-01-02,Banana Shake,West,Instagram,4,760.0,11.749495798319327
2025-01-02,Banana Shake,West,Google,0,0.0,76.13013698630137
2025-01-02,Banana Shake,West,Influencers,2,380.0,2.0078978534418948
2025-01-03,Vanilla Shake,North,Instagram,9,1620.0,14.512780082987552
2025-01-03,Vanilla Shake,North,Google,9,1620.0,132.41666666666666
2025-01-03,Vanilla Shake,North,Influencers,2,360.0,1.686284355179704
2025-01-03,Vanilla Shake,South,Instagram,19,3420.0,14.512780082987552
2025-01-03,Vanilla Shake,South,Google,14,2520.0,132.41666666666666
2025-01-03,Vanilla Shake,South,Influencers,8,1440.0,1.686284355179704
2025-01-03,Vanilla Shake,East,Instagram,27,4860.0,14.512780082987552
2025-01-03,Vanilla Shake,East,Google,16,2880.0,132.41666666666666
2025-01-03,Vanilla Shake,East,Influencers,9,1620.0,1.686284355179704
2025-01-03,Vanilla Shake,West,Instagram,6,1080.0,14.512780082987552
2025-01-03,Vanilla Shake,West,Google,4,720.0,132.41666666666666
2025-01-03,Vanilla Shake,West,Influencers,4,720.0,1.686284355179704
2025-01-03,Chocolate Shake,North,Instagram,9,1530.0,14.512780082987552
2025-01-03,Chocolate Shake,North,Google,4,680.0,132.41666666666666
2025-01-03,Chocolate Shake,North,Influencers,4,680.0,1.686284355179704
2025-01-03,Chocolate Shake,South,Instagram,14,2380.0,14.512780082987552
2025-01-03,Chocolate Shake,South,Google,7,1190.0,132.41666666666666
2025-01-03,Chocolate Shake,South,Influencers,1,170.0,1.686284355179704
2025-01-03,Chocolate Shake,East,Instagram,19,3230.0,14.512780082987552
2025-01-03,Chocolate Shake,East,Google,9,1530.0,132.41666666666666
2025-01-03,Chocolate Shake,East,Influencers,7,1190.0,1.686284355179704
2025-01-03,Chocolate Shake,West,Instagram,5,850.0,14.512780082987552
2025-01-03,Chocolate Shake,West,Google,2,340.0,132.41666666666666
2025-01-03,Chocolate Shake,West,Influencers,2,340.0,1.686284355179704
2025-01-03,Banana Shake,North,Instagram,8,1520.0,14.512780082987552
2025-01-03,Banana Shake,North,Google,5,950.0,132.41666666666666
2025-01-03,Banana Shake,North,Influencers,3,570.0,1.686284355179704
2025-01-03,Banana Shake,South,Instagram,9,1710.0,14.512780082987552
2025-01-03,Banana Shake,South,Google,10,1900.0,132.41666666666666
2025-01-03,Banana Shake,South,Influencers,4,760.0,1.686284355179704
2025-01-03,Banana Shake,East,Instagram,19,3610.0,14.512780082987552
2025-01-03,Banana Shake,East,Google,7,1330.0,132.41666666666666
2025-01-03,Banana Shake,East,Influencers,7,1330.0,1.686284355179704
2025-01-03,Banana Shake,West,Instagram,0,0.0,14.512780082987552
2025-01-03,Banana Shake,West,Google,2,380.0,132.41666666666666
2025-01-03,Banana Shake,West,Influencers,1,190.0,1.686284355179704
2025-01-04,Vanilla Shake,North,Instagram,19,3420.0,5.393538350217077
2025-01-04,Vanilla Shake,North,Google,5,900.0,62.45825
2025-01-04,Vanilla Shake,North,Influencers,2,360.0,3.6853867660764212
2025-01-04,Vanilla Shake,South,Instagram,16,2880.0,5.393538350217077
2025-01-04,Vanilla Shake,South,Google,7,1260.0,62.45825
2025-01-04,Vanilla Shake,South,Influencers,4,720.0,3.6853867660764212
2025-01-04,Vanilla Shake,East,Instagram,21,3780.0,5.393538350217077
2025-01-04,Vanilla Shake,East,Google,13,2340.0,62.45825
2025-01-04,Vanilla Shake,East,Influencers,8,1440.0,3.6853867660764212
2025-01-04,Vanilla Shake,West,Instagram,9,1620.0,5.393538350217077
2025-01-04,Vanilla Shake,West,Google,1,180.0,62.45825
2025-01-04,Vanilla Shake,West,Influencers,2,360.0,3.6853867660764212
2025-01-04,Chocolate Shake,North,Instagram,9,1530.0,5.393538350217077
2025-01-04,Chocolate Shake,North,Google,6,1020.0,62.45825
2025-01-04,Chocolate Shake,North,Influencers,1,170.0,3.6853867660764212
2025-01-04,Chocolate Shake,South,Instagram,17,2890.0,5.393538350217077
2025-01-04,Chocolate Shake,South,Google,4,680.0,62.45825
2025-01-04,Chocolate Shake,South,Influencers,10,1700.0,3.6853867660764212
2025-01-04,Chocolate Shake,East,Instagram,23,3910.0,5.393538350217077
2025-01-04,Chocolate Shake,East,Google,10,1700.0,62.45825
2025-01-04,Chocolate Shake,East,Influencers,8,1360.0,3.6853867660764212
2025-01-04,Chocolate Shake,West,Instagram,6,1020.0,5.393538350217077
2025-01-04,Chocolate Shake,West,Google,1,170.0,62.45825
2025-01-04,Chocolate Shake,West,Influencers,1,170.0,3.6853867660764212
2025-01-04,Banana Shake,North,Instagram,7,1330.0,5.393538350217077
2025-01-04,Banana Shake,North,Google,3,570.0,62.45825
2025-01-04,Banana Shake,North,Influencers,2,380.0,3.6853867660764212
2025-01-04,Banana Shake,South,Instagram,8,1520.0,5.393538350217077
2025-01-04,Banana Shake,South,Google,6,1140.0,62.45825
2025-01-04,Banana Shake,South,Influencers,4,760.0,3.6853867660764212
2025-01-04,Banana Shake,East,Instagram,22,4180.0,5.393538350217077
2025-01-04,Banana Shake,East,Google,12,2280.0,62.45825
2025-01-04,Banana Shake,East,Influencers,8,1520.0,3.6853867660764212
2025-01-04,Banana Shake,West,Instagram,3,570.0,5.393538350217077
2025-01-04,Banana Shake,West,Google,1,190.0,62.45825
2025-01-04,Banana Shake,West,Influencers,1,190.0,3.6853867660764212
2025-01-05,Vanilla Shake,North,Instagram,9,1620.0,8.317334293948127
2025-01-05,Vanilla Shake,North,Google,2,360.0,137.168
2025-01-05,Vanilla Shake,North,Influencers,4,720.0,2.874910921766073
2025-01-05,Vanilla Shake,South,Instagram,23,4140.0,8.317334293948127
2025-01-05,Vanilla Shake,South,Google,3,540.0,137.168
2025-01-05,Vanilla Shake,South,Influencers,9,1620.0,2.874910921766073
2025-01-05,Vanilla Shake,East,Instagram,22,3960.0,8.317334293948127
2025-01-05,Vanilla Shake,East,Google,10,1800.0,137.168
2025-01-05,Vanilla Shake,East,Influencers,3,540.0,2.874910921766073
2025-01-05,Vanilla Shake,West,Instagram,12,2160.0,8.317334293948127
2025-01-05,Vanilla Shake,West,Google,5,900.0,137.168
2025-01-05,Vanilla Shake,West,Influencers,0,0.0,2.874910921766073
2025-01-05,Chocolate Shake,North,Instagram,10,1700.0,8.317334293948127
2025-01-05,Chocolate Shake,North,Google,5,850.0,137.168
2025-01-05,Chocolate Shake,North,Influencers,3,510.0,2.874910921766073
2025-01-05,Chocolate Shake,South,Instagram,18,3060.0,8.317334293948127
2025-01-05,Chocolate Shake,South,Google,10,1700.0,137.168
2025-01-05,Chocolate Shake,South,Influencers,3,510.0,2.874910921766073
2025-01-05,Chocolate Shake,East,Instagram,16,2720.0,8.317334293948127
2025-01-05,Chocolate Shake,East,Google,4,680.0,137.168
