date,product,region,channel,units_sold,revenue,CAC
2025-01-01,VoltEdge Case,North,Instagram,3,2997.0,12.281956521739131
2025-01-01,VoltEdge Case,North,Google,1,999.0,1.8080464853674603
2025-01-01,VoltEdge Case,North,Influencers,0,0.0,34.45641255605381
2025-01-01,VoltEdge Case,South,Instagram,4,3996.0,12.281956521739131
2025-01-01,VoltEdge Case,South,Google,3,2997.0,1.8080464853674603
2025-01-01,VoltEdge Case,South,Influencers,4,3996.0,34.45641255605381
2025-01-01,VoltEdge Case,East,Instagram,13,12987.0,12.281956521739131
2025-01-01,VoltEdge Case,East,Google,6,5994.0,1.8080464853674603
2025-01-01,VoltEdge Case,East,Influencers,1,999.0,34.45641255605381
2025-01-01,VoltEdge Case,West,Instagram,0,0.0,12.281956521739131
2025-01-01,VoltEdge Case,West,Google,0,0.0,1.8080464853674603
2025-01-01,VoltEdge Case,West,Influencers,2,1998.0,34.45641255605381
2025-01-01,VoltEdge Charger,North,Instagram,2,3598.0,12.281956521739131
2025-01-01,VoltEdge Charger,North,Google,0,0.0,1.8080464853674603
2025-01-01,VoltEdge Charger,North,Influencers,2,3598.0,34.45641255605381
2025-01-01,VoltEdge Charger,South,Instagram,4,7196.0,12.281956521739131
2025-01-01,VoltEdge Charger,South,Google,2,3598.0,1.8080464853674603
2025-01-01,VoltEdge Charger,South,Influencers,1,1799.0,34.45641255605381
2025-01-01,VoltEdge Charger,East,Instagram,7,12593.0,12.281956521739131
2025-01-01,VoltEdge Charger,East,Google,1,1799.0,1.8080464853674603
2025-01-01,VoltEdge Charger,East,Influencers,1,1799.0,34.45641255605381
2025-01-01,VoltEdge Charger,West,Instagram,0,0.0,12.281956521739131
2025-01-01,VoltEdge Charger,West,Google,3,5397.0,1.8080464853674603
2025-01-01,VoltEdge Charger,West,Influencers,0,0.0,34.45641255605381
2025-01-01,VoltEdge Power Bank,North,Instagram,0,0.0,12.281956521739131
2025-01-01,VoltEdge Power Bank,North,Google,1,2999.0,1.8080464853674603
2025-01-01,VoltEdge Power Bank,North,Influencers,1,2999.0,34.45641255605381
2025-01-01,VoltEdge Power Bank,South,Instagram,0,0.0,12.281956521739131
2025-01-01,VoltEdge Power Bank,South,Google,2,5998.0,1.8080464853674603
2025-01-01,VoltEdge Power Bank,South,Influencers,2,5998.0,34.45641255605381
2025-01-01,VoltEdge Power Bank,East,Instagram,4,11996.0,12.281956521739131
2025-01-01,VoltEdge Power Bank,East,Google,1,2999.0,1.8080464853674603
2025-01-01,VoltEdge Power Bank,East,Influencers,1,2999.0,34.45641255605381
2025-01-01,VoltEdge Power Bank,West,Instagram,0,0.0,12.281956521739131
2025-01-01,VoltEdge Power Bank,West,Google,1,2999.0,1.8080464853674603
2025-01-01,VoltEdge Power Bank,West,Influencers,0,0.0,34.45641255605381
2025-01-02,VoltEdge Case,North,Instagram,3,2997.0,12.523986254295533
2025-01-02,VoltEdge Case,North,Google,2,1998.0,2.8477528089887643
2025-01-02,VoltEdge Case,North,Influencers,1,999.0,114.45593220338982
2025-01-02,VoltEdge Case,South,Instagram,4,3996.0,12.523986254295533
2025-01-02,VoltEdge Case,South,Google,0,0.0,2.8477528089887643
2025-01-02,VoltEdge Case,South,Influencers,1,999.0,114.45593220338982
2025-01-02,VoltEdge Case,East,Instagram,8,7992.0,12.523986254295533
2025-01-02,VoltEdge Case,East,Google,3,2997.0,2.8477528089887643
2025-01-02,VoltEdge Case,East,Influencers,3,2997.0,114.45593220338982
2025-01-02,VoltEdge Case,West,Instagram,2,1998.0,12.523986254295533
2025-01-02,VoltEdge Case,West,Google,1,999.0,2.8477528089887643
2025-01-02,VoltEdge Case,West,Influencers,2,1998.0,114.45593220338982
2025-01-02,VoltEdge Charger,North,Instagram,1,1799.0,12.523986254295533
2025-01-02,VoltEdge Charger,North,Google,0,0.0,2.8477528089887643
2025-01-02,VoltEdge Charger,North,Influencers,2,3598.0,114.45593220338982
2025-01-02,VoltEdge Charger,South,Instagram,2,3598.0,12.523986254295533
2025-01-02,VoltEdge Charger,South,Google,0,0.0,2.8477528089887643
2025-01-02,VoltEdge Charger,South,Influencers,0,0.0,114.45593220338982
2025-01-02,VoltEdge Charger,East,Instagram,7,12593.0,12.523986254295533
2025-01-02,VoltEdge Charger,East,Google,1,1799.0,2.8477528089887643
2025-01-02,VoltEdge Charger,East,Influencers,1,1799.0,114.45593220338982
2025-01-02,VoltEdge Charger,West,Instagram,2,3598.0,12.523986254295533
2025-01-02,VoltEdge Charger,West,Google,4,7196.0,2.8477528089887643
2025-01-02,VoltEdge Charger,West,Influencers,0,0.0,114.45593220338982
2025-01-02,VoltEdge Power Bank,North,Instagram,2,5998.0,12.523986254295533
2025-01-02,VoltEdge Power Bank,North,Google,1,2999.0,2.8477528089887643
2025-01-02,VoltEdge Power Bank,North,Influencers,0,0.0,114.45593220338982
2025-01-02,VoltEdge Power Bank,South,Instagram,1,2999.0,12.523986254295533
2025-01-02,VoltEdge Power Bank,South,Google,0,0.0,2.8477528089887643
2025-01-02,VoltEdge Power Bank,South,Influencers,0,0.0,114.45593220338982
2025-01-02,VoltEdge Power Bank,East,Instagram,2,5998.0,12.523986254295533
2025-01-02,VoltEdge Power Bank,East,Google,2,5998.0,2.8477528089887643
2025-01-02,VoltEdge Power Bank,East,Influencers,1,2999.0,114.45593220338982
2025-01-02,VoltEdge Power Bank,West,Instagram,1,2999.0,12.523986254295533
2025-01-02,VoltEdge Power Bank,West,Google,1,2999.0,2.8477528089887643
2025-01-02,VoltEdge Power Bank,West,Influencers,0,0.0,114.45593220338982
2025-01-03,VoltEdge Case,North,Instagram,6,5994.0,12.145365853658538
2025-01-03,VoltEdge Case,North,Google,4,3996.0,1.9908475048787289
2025-01-03,VoltEdge Case,North,Influencers,3,2997.0,81.366
2025-01-03,VoltEdge Case,South,Instagram,3,2997.0,12.145365853658538
2025-01-03,VoltEdge Case,South,Google,1,999.0,1.9908475048787289
2025-01-03,VoltEdge Case,South,Influencers,4,3996.0,81.366
2025-01-03,VoltEdge Case,East,Instagram,10,9990.0,12.145365853658538
2025-01-03,VoltEdge Case,East,Google,2,1998.0,1.9908475048787289
2025-01-03,VoltEdge Case,East,Influencers,0,0.0,81.366
2025-01-03,VoltEdge Case,West,Instagram,4,3996.0,12.145365853658538
2025-01-03,VoltEdge Case,West,Google,2,1998.0,1.9908475048787289
2025-01-03,VoltEdge Case,West,Influencers,0,0.0,81.366
2025-01-03,VoltEdge Charger,North,Instagram,2,3598.0,12.145365853658538
2025-01-03,VoltEdge Charger,North,Google,1,1799.0,1.9908475048787289
2025-01-03,VoltEdge Charger,North,Influencers,3,5397.0,81.366
2025-01-03,VoltEdge Charger,South,Instagram,2,3598.0,12.145365853658538
2025-01-03,VoltEdge Charger,South,Google,1,1799.0,1.9908475048787289
2025-01-03,VoltEdge Charger,South,Influencers,1,1799.0,81.366
2025-01-03,VoltEdge Charger,East,Instagram,6,10794.0,12.145365853658538
2025-01-03,VoltEdge Charger,East,Google,2,3598.0,1.9908475048787289
2025-01-03,VoltEdge Charger,East,Influencers,3,5397.0,81.366
2025-01-03,VoltEdge Charger,West,Instagram,1,1799.0,12.145365853658538
2025-01-03,VoltEdge Charger,West,Google,0,0.0,1.9908475048787289
2025-01-03,VoltEdge Charger,West,Influencers,0,0.0,81.366
2025-01-03,VoltEdge Power Bank,North,Instagram,2,5998.0,12.145365853658538
2025-01-03,VoltEdge Power Bank,North,Google,0,0.0,1.9908475048787289
2025-01-03,VoltEdge Power Bank,North,Influencers,1,2999.0,81.366
2025-01-03,VoltEdge Power Bank,South,Instagram,0,0.0,12.145365853658538
2025-01-03,VoltEdge Power Bank,South,Google,2,5998.0,1.9908475048787289
2025-01-03,VoltEdge Power Bank,South,Influencers,0,0.0,81.366
2025-01-03,VoltEdge Power Bank,East,Instagram,1,2999.0,12.145365853658538
2025-01-03,VoltEdge Power Bank,East,Google,0,0.0,1.9908475048787289
2025-01-03,VoltEdge Power Bank,East,Influencers,2,5998.0,81.366
2025-01-03,VoltEdge Power Bank,West,Instagram,2,5998.0,12.145365853658538
2025-01-03,VoltEdge Power Bank,West,Google,0,0.0,1.9908475048787289
2025-01-03,VoltEdge Power Bank,West,Influencers,0,0.0,81.366
2025-01-04,VoltEdge Case,North,Instagram,5,4995.0,17.43169811320755
2025-01-04,VoltEdge Case,North,Google,1,999.0,3.2630710558008835
2025-01-04,VoltEdge Case,North,Influencers,0,0.0,213.82888888888888
2025-01-04,VoltEdge Case,South,Instagram,4,3996.0,17.43169811320755
2025-01-04,VoltEdge Case,South,Google,0,0.0,3.2630710558008835
2025-01-04,VoltEdge Case,South,Influencers,2,1998.0,213.82888888888888
2025-01-04,VoltEdge Case,East,Instagram,7,6993.0,17.43169811320755
2025-01-04,VoltEdge Case,East,Google,5,4995.0,3.2630710558008835
2025-01-04,VoltEdge Case,East,Influencers,4,3996.0,213.82888888888888
2025-01-04,VoltEdge Case,West,Instagram,1,999.0,17.43169811320755
2025-01-04,VoltEdge Case,West,Google,1,999.0,3.2630710558008835
2025-01-04,VoltEdge Case,West,Influencers,1,999.0,213.82888888888888
2025-01-04,VoltEdge Charger,North,Instagram,3,5397.0,17.43169811320755
2025-01-04,VoltEdge Charger,North,Google,0,0.0,3.2630710558008835
2025-01-04,VoltEdge Charger,North,Influencers,1,1799.0,213.82888888888888
2025-01-04,VoltEdge Charger,South,Instagram,5,8995.0,17.43169811320755
2025-01-04,VoltEdge Charger,South,Google,2,3598.0,3.2630710558008835
2025-01-04,VoltEdge Charger,South,Influencers,0,0.0,213.82888888888888
2025-01-04,VoltEdge Charger,East,Instagram,0,0.0,17.43169811320755
2025-01-04,VoltEdge Charger,East,Google,3,5397.0,3.2630710558008835
2025-01-04,VoltEdge Charger,East,Influencers,2,3598.0,213.82888888888888
2025-01-04,VoltEdge Charger,West,Instagram,2,3598.0,17.43169811320755
2025-01-04,VoltEdge Charger,West,Google,1,1799.0,3.2630710558008835
2025-01-04,VoltEdge Charger,West,Influencers,0,0.0,213.82888888888888
2025-01-04,VoltEdge Power Bank,North,Instagram,1,2999.0,17.43169811320755
2025-01-04,VoltEdge Power Bank,North,Google,0,0.0,3.2630710558008835
2025-01-04,VoltEdge Power Bank,North,Influencers,1,2999.0,213.82888888888888
2025-01-04,VoltEdge Power Bank,South,Instagram,2,5998.0,17.43169811320755
2025-01-04,VoltEdge Power Bank,South,Google,0,0.0,3.2630710558008835
2025-01-04,VoltEdge Power Bank,South,Influencers,0,0.0,213.82888888888888
2025-01-04,VoltEdge Power Bank,East,Instagram,3,8997.0,17.43169811320755
2025-01-04,VoltEdge Power Bank,East,Google,1,2999.0,3.2630710558008835
2025-01-04,VoltEdge Power Bank,East,Influencers,3,8997.0,213.82888888888888
2025-01-04,VoltEdge Power Bank,West,Instagram,1,2999.0,17.43169811320755
2025-01-04,VoltEdge Power Bank,West,Google,0,0.0,3.2630710558008835
2025-01-04,VoltEdge Power Bank,West,Influencers,0,0.0,213.82888888888888
2025-01-05,VoltEdge Case,North,Instagram,0,0.0,6.854097774244833
2025-01-05,VoltEdge Case,North,Google,3,2997.0,4.152227891156462
2025-01-05,VoltEdge Case,North,Influencers,1,999.0,95.29246376811595
2025-01-05,VoltEdge Case,South,Instagram,6,5994.0,6.854097774244833
2025-01-05,VoltEdge Case,South,Google,2,1998.0,4.152227891156462
2025-01-05,VoltEdge Case,South,Influencers,0,0.0,95.29246376811595
2025-01-05,VoltEdge Case,East,Instagram,9,8991.0,6.854097774244833
2025-01-05,VoltEdge Case,East,Google,5,4995.0,4.152227891156462
2025-01-05,VoltEdge Case,East,Influencers,4,3996.0,95.29246376811595
2025-01-05,VoltEdge Case,West,Instagram,3,2997.0,6.854097774244833
2025-01-05,VoltEdge Case,West,Google,2,1998.0,4.152227891156462
2025-01-05,VoltEdge Case,West,Influencers,0,0.0,95.29246376811595
2025-01-05,VoltEdge Charger,North,Instagram,3,5397.0,6.854097774244833
2025-01-05,VoltEdge Charger,North,Google,0,0.0,4.152227891156462
2025-01-05,VoltEdge Charger,North,Influencers,2,3598.0,95.29246376811595
2025-01-05,VoltEdge Charger,South,Instagram,5,8995.0,6.854097774244833
2025-01-05,VoltEdge Charger,South,Google,2,3598.0,4.152227891156462
2025-01-05,VoltEdge Charger,South,Influencers,2,3598.0,95.29246376811595
2025-01-05,VoltEdge Charger,East,Instagram,5,8995.0,6.854097774244833
2025-01-05,VoltEdge Charger,East,Google,4,7196.0,4.152227891156462
2025-01-05,VoltEdge Charger,East,Influencers,0,0.0,95.29246376811595
2025-01-05,VoltEdge Charger,West,Instagram,0,0.0,6.854097774244833
2025-01-05,VoltEdge Charger,West,Google,2,3598.0,4.152227891156462
2025-01-05,VoltEdge Charger,West,Influencers,0,0.0,95.29246376811595
2025-01-05,VoltEdge Power Bank,North,Instagram,1,2999.0,6.854097774244833
2025-01-05,VoltEdge Power Bank,North,Google,0,0.0,4.152227891156462
2025-01-05,VoltEdge Power Bank,North,Influencers,1,2999.0,95.29246376811595
2025-01-05,VoltEdge Power Bank,South,Instagram,3,8997.0,6.854097774244833
2025-01-05,VoltEdge Power Bank,South,Google,1,2999.0,4.152227891156462
2025-01-05,VoltEdge Power Bank,South,Influencers,0,0.0,95.29246376811595
2025-01-05,VoltEdge Power Bank,East,Instagram,4,11996.0,6.854097774244833
2025-01-05,VoltEdge Power Bank,East,Google,0,0.0,4.152227891156462
2025-01-05,VoltEdge Power Bank,East,Influencers,0,0.0,95.29246376811595
2025-01-05,VoltEdge Power Bank,West,Instagram,0,0.0,6.854097774244833
2025-01-05,VoltEdge Power Bank,West,Google,0,0.0,4.152227891156462
2025-01-05,VoltEdge Power Bank,West,Influencers,1,2999.0,95.29246376811595
2025-01-06,VoltEdge Case,North,Instagram,1,999.0,9.539198653198653
